order_id,customer_id,order_date,amount,status
1001,1,2024-01-05,150.50,COMPLETED
1002,2,2024-01-08,250.00,COMPLETED
1003,3,2024-01-10,89.99,PENDING
1004,1,2024-01-12,512.50,COMPLETED
1005,4,2024-01-15,45.00,CANCELLED
1006,5,2024-01-18,1200.00,COMPLETED
1007,6,2024-01-20,95.75,COMPLETED
1008,7,2024-01-22,380.25,COMPLETED
1009,8,2024-01-25,650.00,PENDING
1010,2,2024-01-28,199.99,COMPLETED
1011,9,2024-02-01,120.50,COMPLETED
1012,10,2024-02-05,890.00,COMPLETED
1013,11,2024-02-08,275.30,PENDING
1014,4,2024-02-10,55.00,COMPLETED
1015,12,2024-02-12,2150.75,COMPLETED
1016,3,2024-02-15,410.00,COMPLETED
1017,1,2024-02-18,180.50,COMPLETED
1018,5,2024-02-20,750.25,CANCELLED
1019,6,2024-02-22,325.00,COMPLETED
1020,7,2024-02-25,1050.00,COMPLETED
